round;game_id;team_1;team_2;score_1;score_2;winner;loser;is_tie
1;1;Germany;Scotland;5;1;Germany;Scotland;FALSE
1;2;Hungary;Switzerland;1;3;Switzerland;Hungary;FALSE
1;3;Spain;Croatia;3;0;Spain;Croatia;FALSE
1;4;Italy;Albania;2;1;Italy;Albania;FALSE
1;5;Poland;Netherlands;1;2;Netherlands;Poland;FALSE
1;7;Serbia;England;0;1;England;Serbia;FALSE
1;8;Romania;Ukraine;3;0;Romania;Ukraine;FALSE
1;9;Belgium;Slovakia;0;1;Slovakia;Belgium;FALSE
1;10;Austria;France;0;1;France;Austria;FALSE
1;11;Türkiye;Georgia;3;1;Türkiye;Georgia;FALSE
1;12;Portugal;Czechia;2;1;Portugal;Czechia;FALSE
1;14;Germany;Hungary;2;0;Germany;Hungary;FALSE
1;18;Spain;Italy;1;0;Spain;Italy;FALSE
1;19;Slovakia;Ukraine;1;2;Ukraine;Slovakia;FALSE
1;20;Poland;Austria;1;3;Austria;Poland;FALSE
1;23;Türkiye;Portugal;0;3;Portugal;Türkiye;FALSE
1;24;Belgium;Romania;2;0;Belgium;Romania;FALSE
1;26;Scotland;Hungary;0;1;Hungary;Scotland;FALSE
