,Name:,,,,,,,
,Nickname (optional):,,,,,,,
UEFA EURO 2024,,,,,,,,
,,,,,,,,
GROUP STAGE,,,,,,,,
,,,,Goals,Goals,,,
1,Fri 14 21:00,Munich,Germany,5,1,Scotland,,
2,Sat 15 15:00,Cologne,Hungary,,,Switzerland,,
3,Sat 15 18:00,Berlin,Spain,,,Croatia,,
4,Sat 15 21:00,Dortmund,Italy,,,Albania,,
5,Sun 16 15:00,Hamburg,Poland,,,Netherlands,, 
6,Sun 16 18:00,Stuttgart,Slovenia,,,Denmark,,
7,Sun 16 21:00,Gelsenkirchen,Serbia,,,England,,
8,Mon 17 15:00,Munich,Romania,,,Ukraine,,
9,Mon 17 18:00,Frankfurt,Belgium,,,Slovakia,,
10,Mon 17 21:00,Düsseldorf,Austria,,,France,,
11,Tue 18 18:00,Dortmund,Türkiye,,,Georgia,,
12,Tue 18 21:00,Leipzig,Portugal,,,Czechia,,
13,Wed 19 15:00,Hamburg,Croatia,,,Albania,,
14,Wed 19 18:00,Stuttgart,Germany,,,Hungary,,
15,Wed 19 21:00,Cologne,Scotland,,,Switzerland,,
16,Thr 20 15:00,Munich,Slovenia,,,Serbia,,
17,Thr 20 18:00,Frankfurt,Denmark,,,England,,
18,Thr 20 21:00,Gelsenkirchen,Spain,,,Italy,,
19,Fri 21 15:00,Düsseldorf,Slovakia,,,Ukraine,,
20,Fri 21 18:00,Berlin,Poland,,,Austria,,
21,Fri 21 21:00,Leipzig,Netherlands,,,France,,
22,Sat 22 15:00,Hamburg,Georgia,,,Czechia,,
23,Sat 22 18:00,Dortmund,Türkiye,,,Portugal,,
24,Sat 22 21:00,Cologne,Belgium,,,Romania,,
25,Sun 23 21:00,Frankfurt,Switzerland,,,Germany,,
26,Sun 23 21:00,Stuttgart,Scotland,,,Hungary,,
27,Mon 24 21:00,Leipzig,Croatia,,,Italy,,
28,Mon 24 21:00,Düsseldorf,Albania,,,Spain,,
29,Tue 25 18:00,Berlin,Netherlands,,,Austria,,
30,Tue 25 18:00,Dortmund,France,,,Poland,,
31,Tue 25 21:00,Cologne,England,,,Slovenia,,
32,Tue 25 21:00,Munich,Denmark,,,Serbia,,
33,Wed 26 18:00,Frankfurt,Slovakia,,,Romania,,
34,Wed 26 18:00,Stuttgart,Ukraine,,,Belgium,,
35,Wed 26 21:00,Hamburg,Czechia,,,Türkiye,,
36,Wed 26 21:00,Gelsenkirchen,Georgia,,,Portugal,,
,,,,,,,,
Note: All times are local,,, ,,,,,
,,,,,,,,
RULES,,,,,,,,
"Right score - draw: 3 points (e.g. you pick for Team 1 : Team 2 1:1, the actual score is 1:1)",,,,,,,,
"Right score - one team winning: 3 points (e.g. you pick for Team 1 : Team 2 3:1, the actual score is 3:1)",,,,,,,,
"Right goal difference - draw: 2 points (e.g. you pick for Team 1 : Team 2 1:1, the actual score is 0:0)",,,,,,,,
"Right goal difference - one team winning: 2 points (e.g. you pick for Team 1 : Team 2 3:1, the actual score is 2:0)",,,,,,,,
"Right outcome: 1 point (e.g. you pick for Team 1 : Team 2 3:1, the actual score is 1:0)",,,,,,,,
,,,,,,,,
, ,,,,,,,
